"","tit","voto_IMDB","num_IMDB"
"1","Good Night, and Good Luck ","7.5","89132"
"2","Viva Zapatero ","7.2","888"
"3","Passo a due ","3.4","70"
"4","Romanzo criminale ","8.6","4333"
"5","L'Impero dei Lupi ","5.9","10404"
"6","I Fantastici 4 ","5.7","291741"
"7","La Fabbrica di cioccolato ","6.7","377305"
"8","La Bestia nel cuore ","6.5","2247"
"9","Madagascar ","6.9","318093"
"10","Non bussare alla mia porta ","6.7","6863"
"11","I Giorni dell'abbandono ","6","421"
"12","Vita da strega ","7.6","14011"
"13","Cinderella man - Una ragione per lottare ","8","163843"
"14","Creep - Il chirurgo ","5.6","25996"
"15","SpongeBob il film ","7","68854"
"16","2 single a nozze ","7","308295"
"17","Clean ","6.9","4251"
"18","I Fratelli Grimm e l'incantevole strega ","5.9","108707"
"19","Elizabethtown ","6.4","63421"
"20","The Legend of Zorro ","5.9","83502"
"21","La Seconda notte di nozze ","6.7","558"
"22","Flightplan - Mistero in volo ","6.3","140633"
"23","Crash - contatto fisico ","7.8","394925"
"24","La Sposa cadavere ","7.4","218485"
"25","La Tigre e la neve ","7.1","12666"
"26","In her shoes - se fossi lei ","6.5","55960"
"27","Edison City ","5.3","14098"
"28","Oliver Twist ","6.9","28545"
"29","The Interpreter ","6.4","92130"
"30","Valiant - Piccioni da combattimento ","5.6","18485"
"31","Quel mostro di suocera ","5.5","50493"
"32","Red Eye ","6.5","103540"
"33","Partnerperfetto.com ","5.9","28809"
"34","Saw - L'enigmista ","7.6","344361"
"35","L'Arco ","7.2","9818"
"36","La rosa bianca - Sophie Scholl ","7.6","24584"
"37","Tutti i battiti del mio cuore ","7.3","17372"
"38","Niente da nascondere ","7.3","64750"
"39","Gaya ","5.2","1450"
"40","Ogni cosa è illuminata ","7.5","54329"
"41","The Descent - Discesa nelle tenebre ","7.2","180357"
"42","Vai e vivrai ","7.9","5466"
"43","Manderlay ","7.4","20602"
"44","Gabrielle ","6.9","1348"
"45","The Exorcism of Emily Rose ","6.7","108918"
"46","Seven swords ","6.2","8626"
"47","L'amore non basta mai ","6.4","3472"
"48","Texas ","6.5","1161"
"49","Les Amants réguliers ","7.1","2479"
"50","Bambole russe ","7","18175"
"51","Le Avventure di Sharkboy e Lavagirl ","3.5","25538"
"52","Le pagine della nostra vita ","7.9","459728"
"53","20 centimetri ","6.5","1703"
"54","L'Amore fatale ","6.4","9453"
"55","Ingannevole è il cuore più di ogni cosa ","6.5","5950"
"56","Assault on Precinct 13 ","6.3","70068"
"57","La Samaritana ","7.1","12239"
"58","Napoleon Dynamite ","6.9","180409"
"59","La caduta - gli ultimi giorni di Hitler ","8.2","296208"
"60","La damigella d'onore ","6.7","2466"
"61","La Febbre ","6.4","632"
"62","Quo vadis, Baby? ","6.3","924"
"63","Old Boy ","8.4","442065"
"64","Cuore Sacro ","6.5","1698"
"65","La Mala Educacion ","7.5","50400"
"66","La vita è un miracolo ","7.6","11241"
"67","La foresta dei pugnali volanti ","7.6","100650"
"68","Four Brothers - Quattro fratelli ","6.9","122761"
"69","Herbie - il supermaggiolino ",NA,NA
"70","La Passione di Giosuè l'ebreo ","5.1","63"
"71","La Diva Julia ","7","11439"
"72","Saimir ","6.9","217"
"73","Collateral ","7.5","329070"
"74","Il mercante di Venezia ","7.1","32542"
"75","Guida galattica per autostoppisti ","6.8","174386"
"76","La Vita che vorrei ","6.7","324"
"77","The Big White ","6.4","13271"
"78","I Ragazzi del coro ","5.6","1343"
"79","Nessun messaggio in segreteria ","6.5","122"
"80","La Maschera di cera ","5.3","105729"
"81","Hazzard ","7.2","8823"
"82","Soy Cuba - Il Mammuth Siberiano ","7.6","340"
"83","Il castello errante di Howl ","8.2","272066"
"84","Sballati d'amore ","6.6","63719"
