"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10"
"Mad Men ";"4.26";"2007";" Drammatico";" USA";" 47 Min";" American Movie Classics (AMC)";" Conclusa";" Jon Hamm, Elisabeth Moss, Vincent Kartheiser, Christina Hendricks, John Slattery, January Jones, Jessica Paré, Robert Morse, Kiernan Shipka";"                                            New York, anni '60. L'economia sta attraversando un periodo felice, gli americani si danno al consumismo sfrenato, e questo fa gongolare i pubblicitari, chiamati a soddisfare le esigenze, le ambizioni e i desideri dei propri clienti. I creativi della Sterling Cooper sono tra i più richiesti in città, tanto cinici quanto sfacciati. Don Draper ne è l'emblema. Apparentemente perfetto, Don è disposto a tutto pur di vendere."
"Breaking Bad ";"4.32";"2008";" Drammatico";" USA";" 47 Min";" Sony Pictures Television";" Conclusa";" Bryan Cranston, Anna Gunn, Aaron Paul, RJ Mitte, Dean Norris, Betsy Brandt, Bob Odenkirk, Jonathan Banks, Giancarlo Esposito";"                                            Walter White, sottopagato insegnante di chimica alla soglia dei cinquanta anni, scopre di avere un cancro terminale ai polmoni. Incapace di accettare questa terribile realtà, e preoccupato sul futuro della sua famiglia - una moglie incinta e un figlio affetto da paralisi celebrale - Walter decide di tirare fuori la rabbia e sfruttare le sue conoscenze di chimica per produrre metamfetamina insieme a Jesse, un suo ex studente nel giro già da diverso tempo."
"Six Feet Under ";"4.29";"2001";" Drammatico";" USA";" 55 Min";" Home Box Office (HBO)";" Conclusa";" Peter Krause, Michael C. Hall, Frances Conroy, Lauren Ambrose, Rachel Griffiths, Freddy Rodríguez, Richard Jenkins, James Cromwell, Lili Taylor";"                                            Alla morte del padre, David si trova a gestire una situazione difficile: non solo deve tenere nascosta la sua omosessualità, anche portare avanti l'impresa funebre di famiglia insieme al fratello Nate, uno spirito libero, che fino a quel momento aveva dimenticato di avere una famiglia. Mentre i due lottano per tenere testa alla concorrenza, Ruth e Claire, la madre e la sorella, affrontano le gioie e i dolori delle loro relazioni amorose."
"True Blood ";"3.34";"2008";" Fantasy";" USA";" 55 Min";" Your Face Goes Here Entertainment, Home Box Office (HBO)";" Conclusa";" Anna Paquin, Stephen Moyer, Alexander Skarsgård, Sam Trammell, Rutina Wesley, Ryan Kwanten, Nelsan Ellis, Carrie Preston, Chris Bauer";"                                            Sookie Stackhouse è una cameriera mal vista dai cittadini di Bon Temps, in Louisiana, a causa della sua relazione innaturale con Bill Compton, un vampiro centenario. Una convivenza, quella tra vampiri ed esseri umani, difficile e piena di contrasti, che sfocia spesso in atti di oscena crudeltà. Nonostante il disappunto degli amici, aiutata dalla sua capacità di leggere i pensieri, Sookie cerca di dimostrare che i vampiri non sono un pericolo."
"Sex and the City ";"3.58";"1998";" Commedia";" USA";" 29 Min";" Darren Star Productions, Home Box Office (HBO)";" Conclusa";" Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, David Eigenberg, Evan Handler, Jason Lewis, Willie Garson";"                                            Quattro amiche single sulla trentina vivono con disinvoltura e una certa dose di sfacciataggine esperienze sessuali senza coinvolgimenti emotivi. Non s’innamorano mai ma il loro letto non è mai vuoto. Carrie, Samantha, Charlotte e Miranda vestono con abiti magnifici, accostando stili diversi e sempre in, vestiti super griffati e accessori alla moda, cercando di raggiungere l'apice del successo a lavoro e nella vita di tutti i giorni."
"Oz ";"3.95";"1997";" Drammatico";" USA";" 55 Min";" Levinson, The Fontana Company, Rysher Entertainment";" Conclusa";" Terry Kinney, Ernie Hudson, Edie Falco, Lee Tergesen, J.K. Simmons, Dean Winters, Harold Perrineau, Eamonn Walker, Christopher Meloni";"                                            Oz è uno dei peggiori e più pericolosi carceri di massima sicurezza degli Stati Uniti d’America. Un luogo dove l’occhio vigile delle forze dell'ordine serve a poco poiché la violenza è oltremodo incontrollabile. I detenuti, delle macchine assassine, cercano a loro modo di sopravvivere, far valere la propria razza, spesso nei modi più atroci. L'inferno sulla terra, dove non avere diritti, vuol dire avere il diritto di fare qualunque cosa."
"Angels in America ";"3.33";"2003";" Miniserie TV";" USA";" 60 Min";" Avenue Pictures Productions";" Conclusa";" Al Pacino, Meryl Streep, Emma Thompson, Mary-Louise Parker, Jeffrey Wright, Patrick Wilson, Justin Kirk, Ben Shenkman, James Cromwell";"                                            New York, 1985. Per uno strano gioco del destino, le vite di due coppie - la relazione gay tra Louis Ironson e Prior Walter, e il matrimonio instabile tra l'avvocato mormone Joe Pitt e la giovane e depressa Harper - s’intrecciano fino a cambiarne definitivamente il corso. La paura per l'avvicinarsi del nuovo millennio e per l'indistruttibilità di un male, l'AIDS, che sta mietendo un'enormità di giovani vite. Tra queste anche l'amorale Roy Cohn."
"I Soprano ";"4.26";"1999";" Drammatico";" USA";" 58 Min";" Home Box Office (HBO)";" Conclusa";" James Gandolfini, Edie Falco, Lorraine Bracco, Michael Imperioli, Dominic Chianese, Steven Van Zandt, Tony Sirico, Jamie-Lynn Sigler, Robert Iler";"                                            Tony Soprano è il boss dalla tempra d'acciaio di una famiglia criminale italo-americana del New Jersey. Stressato dai suoi affari sporchi e dal ricordo di un'infanzia difficile, Tony inizia a soffrire di attacchi di panico. Seppur con diffidenza, sceglie segretamente la via terapeutica insieme alla dottoressa Melfi, la quale cerca anche di aiutare l'uomo a risolvere i suoi problemi con la moglie Carmela e i due figli Meadow e AJ."
"Roma ";"4.25";"2005";" Drammatico";" USA";" 50 Min";" Home Box Office (HBO), British Broadcasting Corporation (BBC)";" Conclusa";" Kevin McKidd, Ray Stevenson, Ciarán Hinds, Kenneth Cranham, Polly Walker, James Purefoy, Tobias Menzies, Lindsay Duncan, Indira Varma";"                                            Lucio Voreno, la dura essenza di un soldato professionista, e Tito Pullo, un uomo esuberante, istintivo e passionale, sono due semplici soldati della tredicesima legione di Giulio Cesare. Il loro ritorno a Roma coincide con quello di Cesare che, deluso dall'amico Pompeo Magno, è intenzionato a conquistare con la forza Roma, distruggere la Repubblica, e far nascere un nuovo Impero."
"Dr. House ";"3.73";"2004";" Drammatico";" USA";" 43 Min";" Universal Media Studios (UMS)";" Conclusa";" Hugh Laurie, Robert Sean Leonard, Omar Epps, Jesse Spencer, Olivia Wilde, Peter Jacobson, Odette Annable, Charlyne Yi, Lisa Edelstein";"                                            Il Dr. Gregory House è il primario di diagnostica presso l'ospedale Princeton-Plainsboro Teaching University. House è un uomo dai modi ruvidi e irritanti, intelligente e capace oltre le normali aspettative, ma anche eccentrico ed egoista. Un cinico, poco convenzionale, antieroe, ma solo in apparenza, questo perché House in realtà è un medico brillante, prezioso, insostituibile per la meticolosità e la precisione con cui analizza le malattie."
