"","parole","anniparole","personeparole","personeparoleita","votoparole","votoparoleita"
"1","famoso","2005","89132","34","7.5","2.57720717384404"
"2","morte","2005","89132","34","7.5","2.57720717384404"
"3","azioni","2005","89132","34","7.5","2.57720717384404"
"4","montagna","2005","70","19","3.4","2.57718601206222"
"5","danza","2005","70","19","3.4","2.57718601206222"
"6","banda","2005","4333","58","8.6","2.57720188339858"
"7","storia","2005","4333","58","8.6","2.57720188339858"
"8","impresa","2005","4333","58","8.6","2.57720188339858"
"9","giovane","2005","4333","58","8.6","2.57720188339858"
"10","tratto da","2005","4333","58","8.6","2.57720188339858"
"11","ispirato a","2005","4333","58","8.6","2.57720188339858"
"12","donne","2005","10404","12","5.9","2.57715426938948"
"13","morte","2005","10404","12","5.9","2.57715426938948"
"14","giovane","2005","10404","12","5.9","2.57715426938948"
"15","azioni","2005","291741","35","5.7","2.57720717384404"
"16","storia","2005","377305","149","6.7","2.5772230451804"
"17","vita","2005","2247","8","6.5","2.57714368849857"
"18","oscuro","2005","2247","8","6.5","2.57714368849857"
"19","vita","2005","318093","52","6.9","2.57719659295313"
"20","cowboy","2005","6863","13","6.7","2.57716485028039"
"21","vita","2005","6863","13","6.7","2.57716485028039"
"22","giovane","2005","6863","13","6.7","2.57716485028039"
"23","droga","2005","6863","13","6.7","2.57716485028039"
"24","amore","2005","421","14","6","2.57718601206222"
"25","giovane","2005","421","14","6","2.57718601206222"
"26","amore","2005","14011","8","7.6","2.57713310760766"
"27","giovane","2005","14011","8","7.6","2.57713310760766"
"28","paura","2004","25996","9","5.6","2.57720717384404"
"29","giovane","2004","25996","9","5.6","2.57720717384404"
"30","mare","2004","68854","42","7","2.57721246428949"
"31","donne","2005","308295","45","7","2.57720188339858"
"32","vita","2005","308295","45","7","2.57720188339858"
"33","vita","2004","4251","4","6.9","2.57714368849857"
"34","azioni","2004","4251","4","6.9","2.57714368849857"
"35","droga","2004","4251","4","6.9","2.57714368849857"
"36","amore","2005","63421","31","6.4","2.57721246428949"
"37","viaggi","2005","63421","31","6.4","2.57721246428949"
"38","danza","2005","63421","31","6.4","2.57721246428949"
"39","storia","2005","83502","22","5.9","2.57718601206222"
"40","vita","2005","83502","22","5.9","2.57718601206222"
"41","guerra","2005","558","12","6.7","2.57717014072585"
"42","vita","2005","558","12","6.7","2.57717014072585"
"43","azioni","2005","140633","30","6.3","2.57720717384404"
"44","vita","2004","394925","39","7.8","2.57722833562586"
"45","amore","2005","218485","61","7.4","2.5772230451804"
"46","colpevole","2005","218485","61","7.4","2.5772230451804"
"47","vita","2005","218485","61","7.4","2.5772230451804"
"48","morti","2005","218485","61","7.4","2.5772230451804"
"49","felicità","2005","12666","26","7.1","2.57717014072585"
"50","innamorato","2005","12666","26","7.1","2.57717014072585"
"51","guerra","2005","12666","26","7.1","2.57717014072585"
"52","storia","2004","55960","22","6.5","2.57715426938948"
"53","impresa","2004","55960","22","6.5","2.57715426938948"
"54","luce","2004","55960","22","6.5","2.57715426938948"
"55","giovane","2005","14098","12","5.3","2.57721246428949"
"56","vecchio","2005","28545","81","6.9","2.57721775473495"
"57","giovane","2005","28545","81","6.9","2.57721775473495"
"58","storia","2005","92130","19","6.4","2.57718601206222"
"59","vita","2005","92130","19","6.4","2.57718601206222"
"60","vita","2005","18485","8","5.6","2.57714897894403"
