"","Generi","Anni","Valutazionemondo","Valutazioneitalia","q"
"1","Comico",1895,2261,626,1
"2","Documentario",1895,889,369,1
"3","Horror",1896,1471,1392,1
"4","Documentario",1897,2299,2118,1
"5","Drammatico",1897,2355,2119,1
"6","Religioso",1897,199,1838,3
"7","Storico",1897,2167,2120,1
"8","Documentario",1898,2356,1042,1
"9","Poliziesco",1898,2300,2121,1
"10","Religioso",1898,113,2122,2
"11","Religioso",1899,23,2123,1
"12","Religioso",1900,2357,2124,1
"13","Fantascienza",1902,333,548,1
"14","Religioso",1902,2075,2125,1
"15","Azione",1903,714,1192,1
"16","Poliziesco",1903,715,1193,1
"17","Western",1903,716,1194,1
"18","Religioso",1905,24,2126,1
"19","Commedia",1906,783,200,1
"20","Drammatico",1906,849,260,2
"21","Religioso",1906,2076,1985,1
"22","Avventura",1907,1231,2416,1
"23","Religioso",1907,93,1635,2
"24","Drammatico",1908,1927,1774,2
"25","Storico",1908,1848,1509,1
"26","Religioso",1909,2459,2127,1
"27","Avventura",1910,2388,2402,2
"28","Drammatico",1910,1673,2128,3
"29","Religioso",1910,1993,1881,4
"30","Storico",1910,1933,2129,1
"31","Comico",1911,2301,2130,1
"32","Commedia",1911,2358,2131,1
"33","Documentario",1911,2354,2089,4
"34","Drammatico",1911,1680,1374,3
"35","Religioso",1911,393,1764,2
"36","Storico",1911,2225,1857,3
"37","Avventura",1912,2144,2132,1
"38","Commedia",1912,582,2133,4
"39","Documentario",1912,2339,1745,2
"40","Drammatico",1912,1336,2022,9
"41","Fantasy",1912,2406,2134,1
"42","Horror",1912,2460,2403,2
"43","Muto",1912,1573,2482,1
"44","Religioso",1912,2484,1943,6
"45","Storico",1912,2272,1478,3
"46","Avventura",1913,1513,1621,3
"47","Azione",1913,2302,2417,1
"48","Comico",1913,2270,2453,27
"49","Commedia",1913,1371,1795,52
"50","Documentario",1913,2340,1882,2
"51","Drammatico",1913,1925,1848,106
"52","Fantasy",1913,2341,1472,2
"53","Horror",1913,1758,2135,1
"54","Muto",1913,2452,2136,2
"55","Religioso",1913,2303,2137,1
"56","Sentimentale",1913,2237,1510,1
"57","Storico",1913,1060,2008,10
"58","Thriller",1913,2412,2138,1
"59","Western",1913,2304,1329,2
"60","Animazione",1914,2282,2483,1
"61","Avventura",1914,2359,2484,1
"62","Azione",1914,2190,2139,3
"63","Comico",1914,2305,2140,1
"64","Commedia",1914,2121,2033,3
"65","Cortometraggio",1914,1791,2418,1
"66","Documentario",1914,2360,2141,1
"67","Drammatico",1914,1206,1833,24
"68","Fantasy",1914,2497,2142,1
"69","Giallo",1914,2086,2143,2
"70","Guerra",1914,2361,2144,1
"71","Horror",1914,2306,2145,1
"72","Musicale",1914,2440,1746,2
"73","Muto",1914,1946,2454,2
"74","Poliziesco",1914,2493,1747,2
"75","Religioso",1914,1994,2146,1
"76","Sentimentale",1914,2450,2147,1
"77","Storico",1914,2403,2068,5
"78","Western",1914,826,2148,2
"79","Avventura",1915,2449,2149,3
"80","Azione",1915,2536,1883,1
"81","Biografico",1915,2513,2150,1
"82","Commedia",1915,2112,2392,4
"83","Cortometraggio",1915,1708,1689,7
"84","Documentario",1915,2151,2535,3
"85","Drammatico",1915,1256,1847,33
"86","Erotico",1915,2079,1884,1
"87","Fantasy",1915,1966,2151,1
"88","Giallo",1915,2115,2152,2
"89","Guerra",1915,1034,1243,3
"90","Musical",1915,344,2153,1
"91","Musicale",1915,2492,2154,1
"92","Muto",1915,2212,1692,1
"93","Poliziesco",1915,1658,2155,2
"94","Sentimentale",1915,2344,2156,3
"95","Storico",1915,2335,1556,4
"96","Thriller",1915,711,1511,1
"97","Western",1915,872,1072,2
"98","Animazione",1916,1734,1748,2
"99","Avventura",1916,2453,2157,3
"100","Azione",1916,2210,2158,2
"101","Biografico",1916,2362,2159,1
"102","Comico",1916,1869,2445,3
"103","Commedia",1916,1978,1955,5
"104","Cortometraggio",1916,1364,2009,2
"105","Drammatico",1916,1611,1822,22
"106","Fantastico",1916,1645,2419,1
"107","Guerra",1916,2461,2160,1
"108","Horror",1916,269,2161,2
"109","Poliziesco",1916,2535,2162,1
"110","Religioso",1916,1138,1941,3
"111","Sentimentale",1916,2448,2163,1
"112","Storico",1916,1258,1972,4
"113","Western",1916,1832,2164,2
"114","Avventura",1917,2522,2165,1
"115","Comico",1917,2095,1896,4
"116","Commedia",1917,1483,1975,6
"117","Documentario",1917,2363,2420,1
"118","Drammatico",1917,2127,1826,14
"119","Fantascienza",1917,1959,1030,1
"120","Musicale",1917,2544,2421,1
"121","Poliziesco",1917,2364,2166,1
"122","Storico",1917,2222,2167,1
"123","Western",1917,2424,1816,8
"124","Avventura",1918,2532,2075,1
"125","Biografico",1918,2194,1986,1
"126","Comico",1918,2065,2168,3
"127","Commedia",1918,1617,1460,9
"128","Documentario",1918,2345,2169,1
"129","Drammatico",1918,2118,2058,19
"130","Fantastico",1918,2307,2094,1
"131","Guerra",1918,1789,2455,2
"132","Musicale",1918,1804,2170,1
"133","Religioso",1918,2509,1775,2
"134","Sentimentale",1918,2346,2171,1
"135","Western",1918,2505,2016,8
"136","Avventura",1919,1713,1662,6
"137","Azione",1919,3,2172,1
"138","Comico",1919,1876,2091,3
"139","Commedia",1919,1621,1809,10
"140","Documentario",1919,1667,2071,3
"141","Drammatico",1919,1223,1414,31
"142","Fantastico",1919,171,2173,3
"143","Fantasy",1919,1990,1512,1
"144","Giallo",1919,2308,2174,1
"145","Guerra",1919,2309,2485,1
"146","Horror",1919,2441,2175,1
