"","X","acne","treatment","color"
"8379",8379,0,"jellybean","red"
"3467",3467,1,"jellybean","green"
"8942",8942,0,"placebo","black"
"2823",2823,0,"jellybean","salmon"
"6541",6541,0,"jellybean","lilac"
"4532",4532,0,"placebo","yellow"
"2676",2676,0,"placebo","salmon"
"3280",3280,0,"placebo","green"
"663",663,0,"jellybean","brown"
"5964",5964,0,"placebo","tan"
"8456",8456,1,"placebo","red"
"5609",5609,0,"jellybean","tan"
"7246",7246,0,"placebo","mauve"
"3794",3794,1,"placebo","turquoise"
"5984",5984,0,"placebo","tan"
"4992",4992,0,"placebo","yellow"
"5962",5962,0,"placebo","tan"
"5711",5711,1,"jellybean","tan"
"1611",1611,0,"jellybean","blue"
"1355",1355,0,"jellybean","pink"
"6567",6567,0,"jellybean","lilac"
"673",673,0,"jellybean","brown"
"3744",3744,0,"placebo","turquoise"
"9170",9170,0,"placebo","peach"
"2608",2608,0,"placebo","salmon"
"6865",6865,0,"jellybean","lilac"
"1241",1241,0,"jellybean","pink"
"4180",4180,0,"placebo","magenta"
"9722",9722,0,"placebo","orange"
"6669",6669,1,"jellybean","lilac"
"2091",2091,0,"jellybean","teal"
"2790",2790,1,"placebo","salmon"
"4833",4833,0,"jellybean","yellow"
"5583",5583,0,"jellybean","tan"
"2686",2686,0,"placebo","salmon"
"4385",4385,0,"jellybean","magenta"
"9656",9656,1,"placebo","orange"
"67",67,1,"jellybean","purple"
"3727",3727,0,"jellybean","turquoise"
"776",776,0,"placebo","brown"
"9977",9977,0,"jellybean","orange"
"9045",9045,0,"jellybean","peach"
"4108",4108,0,"placebo","magenta"
"4965",4965,0,"jellybean","yellow"
"4141",4141,0,"jellybean","magenta"
"4347",4347,0,"jellybean","magenta"
"1065",1065,0,"jellybean","pink"
"2141",2141,0,"jellybean","teal"
"8862",8862,0,"placebo","black"
"344",344,0,"placebo","purple"
"1260",1260,0,"placebo","pink"
"540",540,0,"placebo","brown"
"2900",2900,0,"placebo","salmon"
"4038",4038,0,"placebo","magenta"
"9634",9634,0,"placebo","orange"
"4194",4194,0,"placebo","magenta"
"1573",1573,0,"jellybean","blue"
"7985",7985,0,"jellybean","beige"
"8936",8936,0,"placebo","black"
"9468",9468,1,"placebo","peach"
"671",671,0,"jellybean","brown"
"7820",7820,0,"placebo","beige"
"6510",6510,0,"placebo","lilac"
"792",792,0,"placebo","brown"
"3650",3650,1,"placebo","turquoise"
"4248",4248,0,"placebo","magenta"
"2656",2656,0,"placebo","salmon"
"3480",3480,1,"placebo","green"
"7778",7778,1,"placebo","beige"
"7235",7235,1,"jellybean","mauve"
"2062",2062,1,"placebo","teal"
"7682",7682,0,"placebo","beige"
"660",660,0,"placebo","brown"
"9117",9117,0,"jellybean","peach"
"353",353,0,"jellybean","purple"
"9219",9219,1,"jellybean","peach"
"102",102,0,"placebo","purple"
"6029",6029,0,"jellybean","cyan"
"8164",8164,0,"placebo","red"
"3089",3089,0,"jellybean","green"
"4916",4916,0,"placebo","yellow"
"5816",5816,0,"placebo","tan"
"4150",4150,0,"placebo","magenta"
"5612",5612,0,"placebo","tan"
"6976",6976,0,"placebo","lilac"
"5872",5872,0,"placebo","tan"
"9763",9763,0,"jellybean","orange"
"3224",3224,0,"placebo","green"
"9989",9989,0,"jellybean","orange"
"316",316,1,"placebo","purple"
"3338",3338,0,"placebo","green"
"5354",5354,0,"placebo","grey"
"9657",9657,0,"jellybean","orange"
"4820",4820,0,"placebo","yellow"
"7677",7677,0,"jellybean","beige"
"896",896,0,"placebo","brown"
"2328",2328,0,"placebo","teal"
"4395",4395,0,"jellybean","magenta"
"4782",4782,0,"placebo","yellow"
"9428",9428,0,"placebo","peach"
"4059",4059,0,"jellybean","magenta"
"8590",8590,0,"placebo","black"
"977",977,1,"jellybean","brown"
"7816",7816,0,"placebo","beige"
"8349",8349,0,"jellybean","red"
"7897",7897,0,"jellybean","beige"
"223",223,0,"jellybean","purple"
"9597",9597,0,"jellybean","orange"
"3379",3379,0,"jellybean","green"
"4541",4541,0,"jellybean","yellow"
"206",206,1,"placebo","purple"
"8245",8245,1,"jellybean","red"
"2551",2551,0,"jellybean","salmon"
"2234",2234,0,"placebo","teal"
"3150",3150,0,"placebo","green"
"1368",1368,0,"placebo","pink"
"4527",4527,0,"jellybean","yellow"
"5578",5578,1,"placebo","tan"
"9298",9298,0,"placebo","peach"
"8817",8817,0,"jellybean","black"
"1816",1816,0,"placebo","blue"
"5106",5106,0,"placebo","grey"
"6100",6100,0,"placebo","cyan"
"1439",1439,0,"jellybean","pink"
"3514",3514,0,"placebo","turquoise"
"941",941,1,"jellybean","brown"
"6917",6917,0,"jellybean","lilac"
"2293",2293,0,"jellybean","teal"
"4979",4979,0,"jellybean","yellow"
"6310",6310,0,"placebo","cyan"
"134",134,0,"placebo","purple"
"4364",4364,0,"placebo","magenta"
"5411",5411,0,"jellybean","grey"
"7621",7621,0,"jellybean","beige"
"8015",8015,0,"jellybean","red"
"6061",6061,0,"jellybean","cyan"
"9801",9801,0,"jellybean","orange"
"3684",3684,1,"placebo","turquoise"
"2937",2937,0,"jellybean","salmon"
"8615",8615,0,"jellybean","black"
"7713",7713,1,"jellybean","beige"
"6137",6137,0,"jellybean","cyan"
"3869",3869,0,"jellybean","turquoise"
"1998",1998,0,"placebo","blue"
"4306",4306,0,"placebo","magenta"
"4675",4675,0,"jellybean","yellow"
"8070",8070,0,"placebo","red"
"1395",1395,0,"jellybean","pink"
"4094",4094,0,"placebo","magenta"
"3207",3207,0,"jellybean","green"
"2614",2614,0,"placebo","salmon"
"7549",7549,0,"jellybean","beige"
"8971",8971,0,"jellybean","black"
"6444",6444,0,"placebo","cyan"
"2232",2232,1,"placebo","teal"
"1190",1190,0,"placebo","pink"
"8153",8153,0,"jellybean","red"
"5046",5046,1,"placebo","grey"
"6364",6364,0,"placebo","cyan"
"8372",8372,0,"placebo","red"
"5320",5320,0,"placebo","grey"
"4397",4397,0,"jellybean","magenta"
"2764",2764,0,"placebo","salmon"
"6326",6326,0,"placebo","cyan"
"7653",7653,1,"jellybean","beige"
"6656",6656,0,"placebo","lilac"
"4053",4053,0,"jellybean","magenta"
"887",887,0,"jellybean","brown"
"4445",4445,0,"jellybean","magenta"
"8957",8957,0,"jellybean","black"
"2333",2333,0,"jellybean","teal"
"224",224,0,"placebo","purple"
"1942",1942,0,"placebo","blue"
"612",612,0,"placebo","brown"
"705",705,0,"jellybean","brown"
"4055",4055,0,"jellybean","magenta"
"9390",9390,0,"placebo","peach"
"2485",2485,1,"jellybean","teal"
"4205",4205,0,"jellybean","magenta"
"8537",8537,1,"jellybean","black"
"6040",6040,1,"placebo","cyan"
"9209",9209,0,"jellybean","peach"
"3615",3615,0,"jellybean","turquoise"
"2229",2229,1,"jellybean","teal"
"8793",8793,0,"jellybean","black"
"9808",9808,0,"placebo","orange"
"3380",3380,0,"placebo","green"
"6776",6776,0,"placebo","lilac"
"4906",4906,0,"placebo","yellow"
"4637",4637,0,"jellybean","yellow"
"9520",9520,0,"placebo","orange"
"9850",9850,1,"placebo","orange"
"3571",3571,1,"jellybean","turquoise"
"2498",2498,0,"placebo","teal"
"4887",4887,0,"jellybean","yellow"
"4531",4531,0,"jellybean","yellow"
"4025",4025,0,"jellybean","magenta"
"8739",8739,0,"jellybean","black"
"2165",2165,0,"jellybean","teal"
"4599",4599,0,"jellybean","yellow"
"4129",4129,0,"jellybean","magenta"
"9548",9548,0,"placebo","orange"
"4994",4994,0,"placebo","yellow"
"326",326,0,"placebo","purple"
"29",29,0,"jellybean","purple"
"9226",9226,0,"placebo","peach"
"7000",7000,0,"placebo","lilac"
"8799",8799,0,"jellybean","black"
"600",600,0,"placebo","brown"
"7077",7077,0,"jellybean","mauve"
"7640",7640,0,"placebo","beige"
"7352",7352,0,"placebo","mauve"
"9998",9998,0,"placebo","orange"
"5218",5218,1,"placebo","grey"
"4771",4771,0,"jellybean","yellow"
"1539",1539,1,"jellybean","blue"
"6616",6616,0,"placebo","lilac"
"7880",7880,0,"placebo","beige"
"9306",9306,0,"placebo","peach"
"8674",8674,1,"placebo","black"
"9526",9526,0,"placebo","orange"
"2060",2060,0,"placebo","teal"
"5265",5265,0,"jellybean","grey"
"5513",5513,0,"jellybean","tan"
"1254",1254,0,"placebo","pink"
"9927",9927,1,"jellybean","orange"
"758",758,1,"placebo","brown"
"6282",6282,0,"placebo","cyan"
"1810",1810,0,"placebo","blue"
"1904",1904,1,"placebo","blue"
"4684",4684,0,"placebo","yellow"
"7409",7409,0,"jellybean","mauve"
"2207",2207,0,"jellybean","teal"
"662",662,1,"placebo","brown"
"7794",7794,0,"placebo","beige"
"1885",1885,0,"jellybean","blue"
"5846",5846,0,"placebo","tan"
"877",877,0,"jellybean","brown"
"881",881,0,"jellybean","brown"
"6826",6826,0,"placebo","lilac"
"3580",3580,0,"placebo","turquoise"
"416",416,0,"placebo","purple"
"9024",9024,0,"placebo","peach"
"6101",6101,0,"jellybean","cyan"
"1508",1508,0,"placebo","blue"
"814",814,1,"placebo","brown"
"436",436,0,"placebo","purple"
"949",949,0,"jellybean","brown"
"7433",7433,0,"jellybean","mauve"
"668",668,0,"placebo","brown"
"336",336,0,"placebo","purple"
"5890",5890,1,"placebo","tan"
"7756",7756,1,"placebo","beige"
"4111",4111,0,"jellybean","magenta"
"9704",9704,0,"placebo","orange"
"184",184,0,"placebo","purple"
"2945",2945,0,"jellybean","salmon"
"7108",7108,0,"placebo","mauve"
"8536",8536,0,"placebo","black"
"9022",9022,0,"placebo","peach"
"4775",4775,0,"jellybean","yellow"
"7487",7487,0,"jellybean","mauve"
"8976",8976,1,"placebo","black"
"2733",2733,1,"jellybean","salmon"
"4550",4550,0,"placebo","yellow"
"4706",4706,0,"placebo","yellow"
"5057",5057,0,"jellybean","grey"
"1513",1513,1,"jellybean","blue"
"5818",5818,0,"placebo","tan"
"594",594,0,"placebo","brown"
"5287",5287,0,"jellybean","grey"
"7855",7855,0,"jellybean","beige"
"9778",9778,0,"placebo","orange"
"6766",6766,0,"placebo","lilac"
"1232",1232,0,"placebo","pink"
"4474",4474,0,"placebo","magenta"
"8610",8610,0,"placebo","black"
"8052",8052,0,"placebo","red"
"308",308,0,"placebo","purple"
"3698",3698,0,"placebo","turquoise"
"9092",9092,0,"placebo","peach"
"1906",1906,0,"placebo","blue"
"8098",8098,0,"placebo","red"
"9611",9611,0,"jellybean","orange"
"3334",3334,0,"placebo","green"
"534",534,1,"placebo","brown"
"8962",8962,1,"placebo","black"
"5069",5069,0,"jellybean","grey"
"6662",6662,0,"placebo","lilac"
"4446",4446,0,"placebo","magenta"
"9732",9732,1,"placebo","orange"
"2353",2353,0,"jellybean","teal"
"7509",7509,0,"jellybean","beige"
"7524",7524,0,"placebo","beige"
"7645",7645,0,"jellybean","beige"
"9620",9620,0,"placebo","orange"
"3622",3622,0,"placebo","turquoise"
"2942",2942,1,"placebo","salmon"
"6005",6005,0,"jellybean","cyan"
"7518",7518,1,"placebo","beige"
"5678",5678,0,"placebo","tan"
"2117",2117,0,"jellybean","teal"
"5574",5574,0,"placebo","tan"
"3323",3323,0,"jellybean","green"
"460",460,0,"placebo","purple"
"1937",1937,0,"jellybean","blue"
"5627",5627,0,"jellybean","tan"
"3146",3146,0,"placebo","green"
"2024",2024,0,"placebo","teal"
"4846",4846,0,"placebo","yellow"
"9512",9512,0,"placebo","orange"
"9322",9322,0,"placebo","peach"
"5401",5401,0,"jellybean","grey"
"8585",8585,0,"jellybean","black"
"6967",6967,0,"jellybean","lilac"
"1734",1734,1,"placebo","blue"
"8553",8553,1,"jellybean","black"
"2319",2319,0,"jellybean","teal"
"1431",1431,1,"jellybean","pink"
"3274",3274,0,"placebo","green"
"5722",5722,0,"placebo","tan"
"9884",9884,0,"placebo","orange"
"9411",9411,0,"jellybean","peach"
"9846",9846,0,"placebo","orange"
"9048",9048,0,"placebo","peach"
"6237",6237,0,"jellybean","cyan"
"5023",5023,0,"jellybean","grey"
"5911",5911,1,"jellybean","tan"
"2269",2269,0,"jellybean","teal"
"6869",6869,0,"jellybean","lilac"
"7332",7332,1,"placebo","mauve"
"690",690,0,"placebo","brown"
"2630",2630,0,"placebo","salmon"
"3943",3943,0,"jellybean","turquoise"
"7668",7668,0,"placebo","beige"
"5791",5791,0,"jellybean","tan"
"2480",2480,0,"placebo","teal"
"7372",7372,0,"placebo","mauve"
"3005",3005,0,"jellybean","green"
"1545",1545,0,"jellybean","blue"
"9688",9688,0,"placebo","orange"
"2954",2954,0,"placebo","salmon"
"2176",2176,0,"placebo","teal"
"1761",1761,0,"jellybean","blue"
"4451",4451,0,"jellybean","magenta"
"783",783,0,"jellybean","brown"
"6755",6755,0,"jellybean","lilac"
"1394",1394,0,"placebo","pink"
"1740",1740,1,"placebo","blue"
"4561",4561,0,"jellybean","yellow"
"1265",1265,0,"jellybean","pink"
"5782",5782,0,"placebo","tan"
"6610",6610,0,"placebo","lilac"
"2836",2836,0,"placebo","salmon"
"2002",2002,0,"placebo","teal"
"2802",2802,0,"placebo","salmon"
"7138",7138,0,"placebo","mauve"
"4514",4514,0,"placebo","yellow"
"2593",2593,0,"jellybean","salmon"
"5827",5827,0,"jellybean","tan"
"4849",4849,1,"jellybean","yellow"
"8548",8548,0,"placebo","black"
"5424",5424,0,"placebo","grey"
"6994",6994,0,"placebo","lilac"
"5515",5515,1,"jellybean","tan"
"5582",5582,0,"placebo","tan"
"4792",4792,0,"placebo","yellow"
"7388",7388,0,"placebo","mauve"
"8500",8500,0,"placebo","red"
"2510",2510,0,"placebo","salmon"
"888",888,0,"placebo","brown"
"801",801,0,"jellybean","brown"
"8944",8944,0,"placebo","black"
"5317",5317,0,"jellybean","grey"
"8707",8707,1,"jellybean","black"
"7943",7943,0,"jellybean","beige"
"514",514,0,"placebo","brown"
"2183",2183,0,"jellybean","teal"
"3471",3471,0,"jellybean","green"
"3018",3018,0,"placebo","green"
"5110",5110,0,"placebo","grey"
"3695",3695,0,"jellybean","turquoise"
"3550",3550,0,"placebo","turquoise"
"8402",8402,0,"placebo","red"
"9104",9104,1,"placebo","peach"
"3000",3000,0,"placebo","salmon"
"6233",6233,0,"jellybean","cyan"
"8079",8079,1,"jellybean","red"
"7773",7773,1,"jellybean","beige"
"8429",8429,0,"jellybean","red"
"5598",5598,0,"placebo","tan"
"9593",9593,0,"jellybean","orange"
"5777",5777,1,"jellybean","tan"
"335",335,0,"jellybean","purple"
"2044",2044,0,"placebo","teal"
"2039",2039,1,"jellybean","teal"
"3963",3963,1,"jellybean","turquoise"
"9648",9648,0,"placebo","orange"
"5540",5540,0,"placebo","tan"
"458",458,0,"placebo","purple"
"9043",9043,0,"jellybean","peach"
"4589",4589,0,"jellybean","yellow"
"9362",9362,1,"placebo","peach"
"8920",8920,0,"placebo","black"
"5529",5529,0,"jellybean","tan"
"3192",3192,0,"placebo","green"
"7121",7121,0,"jellybean","mauve"
"906",906,0,"placebo","brown"
"5595",5595,0,"jellybean","tan"
"5435",5435,0,"jellybean","grey"
"8377",8377,0,"jellybean","red"
"4323",4323,0,"jellybean","magenta"
"4707",4707,0,"jellybean","yellow"
"1144",1144,1,"placebo","pink"
"5109",5109,1,"jellybean","grey"
"2742",2742,0,"placebo","salmon"
"9979",9979,0,"jellybean","orange"
"7355",7355,0,"jellybean","mauve"
"9561",9561,0,"jellybean","orange"
"807",807,0,"jellybean","brown"
"6368",6368,0,"placebo","cyan"
"1489",1489,0,"jellybean","pink"
"1905",1905,0,"jellybean","blue"
